image,sigma,median_size,threshold_method,threshold_value,open_size,close_size,dice
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-500,2,0,0.5696636212624585
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-500,2,2,0.562336664104535
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-500,2,3,0.5587007433051624
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-500,3,0,0.5639030545186898
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-500,3,2,0.5569922625538765
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-500,3,3,0.5540937935304132
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-400,0,0,0.5353921080303282
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-400,0,2,0.5324603873239436
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-400,0,3,0.5314930441450323
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-400,2,0,0.5330362116991644
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-400,2,2,0.5302753310065924
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-400,2,3,0.5299145299145299
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-400,3,0,0.5214941686855598
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-400,3,2,0.5191575173650012
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-400,3,3,0.5185019813584864
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-300,0,0,0.48499498850303635
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-300,0,2,0.4846271645659088
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-300,0,3,0.4845706224651737
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-300,2,0,0.48259090100243196
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-300,2,2,0.48240312833274085
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-300,2,3,0.482909520993495
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-300,3,0,0.4667867867867868
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-300,3,2,0.46636663666366635
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-300,3,3,0.46768972545258364
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,otsu,-398,0,0,0.5250991121782345
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,otsu,-398,0,2,0.5223814284127513
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,otsu,-398,0,3,0.5216284987277354
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,otsu,-398,2,0,0.5243806748122408
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,otsu,-398,2,2,0.5217682145047104
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,otsu,-398,2,3,0.5210149353173061
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,otsu,-398,3,0,0.5134125636672326
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,otsu,-398,3,2,0.510865893480464
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,otsu,-398,3,3,0.5099315452811133
LIDC-IDRI-0001_R_1.nii.gz,1.0,3,fixed,-500,0,0,0.5638358729003068
